      Omega     | Max Displacement
  0.5000000     |   1.476807    
   1.000000     |   1.185055    
   1.500000     |   1.304763    
   2.000000     |  0.5476567    
   2.500000     |  0.1958389    
   3.000000     |  0.1276187    
   3.500000     |  8.4878981E-02
   4.000000     |  5.8203399E-02
